snapshot_time,symbol,match_price,ref_price
2026-04-03 00:56:03,HPG,27350,27150
2026-04-03 02:09:10,HPG,27350,27150
2026-04-03 02:57:08,HPG,27350,27150
2026-04-03 03:46:17,HPG,27350,27150
2026-04-03 04:23:36,HPG,27350,27150
2026-04-03 05:01:14,HPG,27350,27150
2026-04-03 05:48:23,HPG,27350,27150
2026-04-03 06:21:35,HPG,27350,27150
2026-04-03 06:56:44,HPG,27350,27150
2026-04-03 10:18:49,HPG,27100,27350
2026-04-03 12:18:37,HPG,27000,27350
2026-04-03 13:42:09,HPG,26850,27350
2026-04-03 14:49:26,HPG,26650,27350
2026-04-03 15:39:39,HPG,26650,27350
